Species,Common_name,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3
Squalius cephalus,Chub,1520,3667,690,0,2601,7064,15,13611,741,0,5,0,2,0,12,9,0,3333,0,0,48,9,0,0,2,10214,6,3,0,0,0,0,2810,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,15,0,0,0,0,5,0,0
Esox lucius,Northern pike,0,5650,1424,0,0,0,1240,6522,735,0,4191,0,0,0,6241,0,11143,0,0,1009,0,0,0,0,10,7,20,7423,0,0,0,0,0,0,7093,7762,0,0,0,4,6045,0,0,7644,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,555,7,0,0,26,0,0
Perca fluviatilis,European perch,3495,2699,2355,8259,1586,1069,12904,0,6858,0,5816,1196,9882,27670,10791,12769,1639,2622,30372,0,24216,2156,3535,25900,0,0,2,13909,10260,33593,0,2,11,0,0,5326,1724,835,8228,0,0,0,0,0,0,2773,19,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,6,5,0,0,54,0,0,0,0,0,2,0,0,9,0,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,52,0,0,0,0,13,0,2,2,0
Gymnocephalus cernua,Eurasian ruffe,3,1223,188,2787,4366,0,0,22878,0,0,2,0,2,0,3,5,1436,0,0,7158,0,0,0,0,0,0,69,0,0,8180,0,0,0,4,0,85047,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Salmo salar,Atlantic salmon,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Leuciscus leuciscus,Dace,2,31,7,27,1812,72,34,60,0,0,7,0,179,83,2684,304,82,1323,65,73,15362,1871,0,0,386,0,18,15,3911,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Solea solea,Common sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16049,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3356,0,0,0,0,84,0,0
Cottus gobio,European bullhead,401,0,527,840,3793,2845,0,0,0,0,0,0,143,0,6322,0,0,1276,0,1644,9772,1436,0,0,0,0,0,4156,0,3,7710,20522,0,0,13,0,0,0,3181,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo trutta,Brown trout,0,4310,0,3965,0,0,0,6900,0,0,21,0,0,5805,5225,3977,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4210,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,12269,7,0,0,0,0,0,0,0,4,0,0,16589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,60,0,0
Barbatula barbatula,Stone loach,478,0,10,0,0,1101,820,2008,0,0,0,0,8820,802,0,0,0,1123,0,0,1739,0,3891,0,3,2,9022,2008,0,0,3,0,2371,0,0,0,0,18953,3143,0,0,0,0,6,3269,0,0,0,0,0,0,0,0,15334,0,0,0,0,0,2,0,0,18,0,0,0,2,0,0,0,13,0,0,2083,480,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0
